account_id,month,current_month_transactions,current_month_revenue,total_tickets,escalated_tickets,late_payments,enabled_channels,self_service_percentage,last_touchbase_date,average_resolution_time_hours,churned
ACC-0000,2024-10,192,8735.76968429814,0,0,3,1,41.19188877752281,2024-09-28 14:45:11.591150,35.1677228827555,0
ACC-0000,2024-11,203,9247.550601647235,1,0,1,4,63.57062735503635,2024-08-13 14:45:11.591150,65.72641539806082,0
ACC-0000,2024-12,186,8478.53865188295,1,0,2,3,43.9082209928477,2024-09-18 14:45:11.591150,40.15653816540608,0
ACC-0000,2025-01,178,8128.989046333455,1,0,2,1,58.810880747589806,2024-11-16 14:45:11.591150,29.99165581695405,1
ACC-0001,2024-10,82,36448.40920245049,3,0,0,3,79.40886082643031,2024-09-01 14:45:11.591258,35.173962545329445,0
ACC-0001,2024-11,95,42610.29022918173,5,1,0,2,54.8072386846753,2024-11-11 14:45:11.591258,56.168408370129285,0
ACC-0001,2024-12,117,52106.010294644104,1,0,0,5,65.39913152788242,2024-11-20 14:45:11.591258,58.99808630161676,0
ACC-0001,2025-01,109,48920.90012634834,3,0,0,6,50.32274390778223,2024-12-05 14:45:11.591258,61.24799575421975,0
ACC-0001,2025-02,94,42233.43874790271,5,0,0,4,43.103189783173896,2025-02-09 14:45:11.591258,67.83053396090617,0
ACC-0001,2025-03,108,48567.8400294293,7,0,0,4,64.07922723214789,2025-02-11 14:45:11.591258,46.02488892419514,1
ACC-0002,2024-10,149,33263.55058423325,1,0,3,1,70.23128630134951,2024-09-28 14:45:11.591325,29.263158256831638,0
ACC-0002,2024-11,170,37915.01198253064,3,0,0,4,55.26477146026147,2024-11-10 14:45:11.591325,49.397488564758575,0
ACC-0002,2024-12,166,37078.88479353455,0,0,0,6,75.39153800516436,2024-11-30 14:45:11.591325,36.80760911772205,0
ACC-0002,2025-01,107,24113.850331579608,3,0,1,4,34.11034074745879,2024-12-31 14:45:11.591325,66.04094113815331,0
ACC-0002,2025-02,105,23670.842686070257,0,0,2,6,51.260537987239566,2025-02-16 14:45:11.591325,31.336284890382473,0
ACC-0002,2025-03,121,27243.727672845594,0,0,2,4,34.6622092411183,2025-02-23 14:45:11.591325,41.42307682468481,0
ACC-0002,2025-04,99,22244.293837004272,1,0,0,1,58.884858224717334,2025-03-28 14:45:11.591325,27.322200886482413,0
ACC-0002,2025-05,91,20577.55622759858,3,0,1,3,51.94090877222064,2025-05-04 14:45:11.591325,44.31062112964257,0
ACC-0002,2025-06,106,23760.735613289587,1,0,2,4,67.8350781264704,2025-06-02 14:45:11.591325,41.9241841214061,0
ACC-0002,2025-07,88,19719.683884832197,0,0,2,1,54.00249642754593,2025-07-15 14:45:11.591325,52.245125491696854,0
ACC-0002,2025-08,79,17765.060679470247,0,0,0,3,36.40914989621422,2025-08-14 14:45:11.591325,37.36690867029826,0
ACC-0002,2025-09,93,20967.447182235974,3,0,1,4,61.454897924065875,2025-09-14 14:45:11.591325,28.527638231610347,0
ACC-0003,2024-10,108,27439.81725306343,5,0,0,2,47.663602885666165,2024-09-21 14:45:11.591444,45.533450295990335,0
ACC-0003,2024-11,123,31231.49349063735,3,0,0,4,72.32088978926811,2024-10-01 14:45:11.591444,50.415614997592705,0
ACC-0003,2024-12,161,40714.09097561085,0,0,0,2,46.652444424156556,2024-11-23 14:45:11.591444,47.1052040626099,0
ACC-0003,2025-01,149,37805.25313569589,2,0,3,1,71.47111837607014,2025-01-07 14:45:11.591444,68.47286753084799,1
ACC-0004,2024-10,185,45893.2894789664,0,0,0,6,52.54419239078916,2024-10-24 14:45:11.591486,52.04052453403062,0
ACC-0004,2024-11,188,46582.9576722078,2,0,0,5,43.20445860962347,2024-11-19 14:45:11.591486,27.289023969782033,0
ACC-0004,2024-12,158,39243.59294221441,6,0,0,5,48.60239856375636,2024-12-05 14:45:11.591486,25.907599789875093,0
ACC-0004,2025-01,112,27856.744082191573,9,0,2,3,40.94481278040024,2025-01-01 14:45:11.591486,39.08082541418765,1
ACC-0005,2024-10,191,21410.94506554619,4,0,0,1,42.93042884398532,2024-10-19 14:45:11.591529,48.28246531434074,0
ACC-0005,2024-11,141,15852.821220035095,0,0,0,2,54.78108354955536,2024-11-19 14:45:11.591529,45.03285950437007,0
ACC-0005,2024-12,100,11299.66740685503,5,1,0,5,36.28163185747768,2024-11-28 14:45:11.591529,50.62090955950453,1
ACC-0006,2024-10,55,18908.52211673542,2,0,2,2,67.49988515205322,2024-09-01 14:45:11.591558,36.67122727825965,0
ACC-0006,2024-11,55,18688.872032716077,0,0,0,6,56.943030902549054,2024-11-07 14:45:11.591558,26.1161645663544,0
ACC-0006,2024-12,36,12457.852958461428,1,0,1,6,53.34791393885148,2024-11-09 14:45:11.591558,44.528972111072605,1
